file,finetuned
5350140/1996/5350140-1996-0001-2140.json/5350140-1996-0001-2140.json,0.527
5350140/1996/5350140-1996-0001-2197.json/5350140-1996-0001-2197.json,0.491
5350140/1996/5350140-1996-0001-2206.json/5350140-1996-0001-2206.json,0.439
5350140/1996/5350140-1996-0001-2219.json/5350140-1996-0001-2219.json,0.273
5350140/1996/5350140-1996-0001-2223.json/5350140-1996-0001-2223.json,0.467
